Path,Object_name,Object_id,Category,EV_offset,EV_idx,Lux,Shutter_speed,ISO,F-Number,Num_objects
1_cup/10/-5/9_0_2.jpg,1_cup,1,cup,-5,10,10,1/8,100,11,3
1_cup/10/-5/9_1_1.jpg,1_cup,1,cup,-5,10,10,1/8,200,16,3
1_cup/10/-5/9_2_0.jpg,1_cup,1,cup,-5,10,10,1/8,400,22,3
1_cup/10/-5/6_1_4.jpg,1_cup,1,cup,-5,10,10,1/60,200,5.6,3
1_cup/10/-5/3_4_4.jpg,1_cup,1,cup,-5,10,10,1/500,1600,5.6,3
1_cup/10/-5/3_5_3.jpg,1_cup,1,cup,-5,10,10,1/500,3200,8,3
1_cup/10/-5/10_0_1.jpg,1_cup,1,cup,-5,10,10,1/4,100,16,3
1_cup/10/-5/7_0_4.jpg,1_cup,1,cup,-5,10,10,1/30,100,5.6,3
1_cup/10/-5/7_3_1.jpg,1_cup,1,cup,-5,10,10,1/30,800,16,3
1_cup/10/-5/7_4_0.jpg,1_cup,1,cup,-5,10,10,1/30,1600,22,3
1_cup/10/-5/4_5_2.jpg,1_cup,1,cup,-5,10,10,1/250,3200,11,3
1_cup/10/-5/4_6_1.jpg,1_cup,1,cup,-5,10,10,1/250,6400,16,3
1_cup/10/-5/8_0_3.jpg,1_cup,1,cup,-5,10,10,1/15,100,8,3
1_cup/10/-5/8_2_1.jpg,1_cup,1,cup,-5,10,10,1/15,400,16,3
1_cup/10/-5/8_3_0.jpg,1_cup,1,cup,-5,10,10,1/15,800,22,3
1_cup/10/-5/5_2_4.jpg,1_cup,1,cup,-5,10,10,1/125,400,5.6,3
1_cup/10/-5/5_6_0.jpg,1_cup,1,cup,-5,10,10,1/125,6400,22,3
1_cup/10/-5/2_5_4.jpg,1_cup,1,cup,-5,10,10,1/1000,3200,5.6,3
1_cup/10/-4/9_0_3.jpg,1_cup,1,cup,-4,9,10,1/8,100,8,3
1_cup/10/-4/9_2_1.jpg,1_cup,1,cup,-4,9,10,1/8,400,16,3
1_cup/10/-4/9_3_0.jpg,1_cup,1,cup,-4,9,10,1/8,800,22,3
1_cup/10/-4/6_2_4.jpg,1_cup,1,cup,-4,9,10,1/60,400,5.6,3
1_cup/10/-4/6_4_2.jpg,1_cup,1,cup,-4,9,10,1/60,1600,11,3
1_cup/10/-4/6_5_1.jpg,1_cup,1,cup,-4,9,10,1/60,3200,16,3
1_cup/10/-4/6_6_0.jpg,1_cup,1,cup,-4,9,10,1/60,6400,22,3
1_cup/10/-4/3_5_4.jpg,1_cup,1,cup,-4,9,10,1/500,3200,5.6,3
1_cup/10/-4/3_6_3.jpg,1_cup,1,cup,-4,9,10,1/500,6400,8,3
1_cup/10/-4/10_1_1.jpg,1_cup,1,cup,-4,9,10,1/4,200,16,3
1_cup/10/-4/10_2_0.jpg,1_cup,1,cup,-4,9,10,1/4,400,22,3
1_cup/10/-4/4_5_3.jpg,1_cup,1,cup,-4,9,10,1/250,3200,8,3
1_cup/10/-4/8_0_4.jpg,1_cup,1,cup,-4,9,10,1/15,100,5.6,3
1_cup/10/-4/8_1_3.jpg,1_cup,1,cup,-4,9,10,1/15,200,8,3
1_cup/10/-4/8_3_1.jpg,1_cup,1,cup,-4,9,10,1/15,800,16,3
1_cup/10/-4/5_3_4.jpg,1_cup,1,cup,-4,9,10,1/125,800,5.6,3
1_cup/10/-4/5_5_2.jpg,1_cup,1,cup,-4,9,10,1/125,3200,11,3
1_cup/10/-4/5_6_1.jpg,1_cup,1,cup,-4,9,10,1/125,6400,16,3
1_cup/10/-4/12_0_0.jpg,1_cup,1,cup,-4,9,10,1,100,22,3
1_cup/10/-4/11_0_1.jpg,1_cup,1,cup,-4,9,10,0.5,100,16,3
1_cup/10/-4/11_1_0.jpg,1_cup,1,cup,-4,9,10,0.5,200,22,3
1_cup/10/-3/9_0_4.jpg,1_cup,1,cup,-3,8,10,1/8,100,5.6,3
1_cup/10/-3/9_1_3.jpg,1_cup,1,cup,-3,8,10,1/8,200,8,3
1_cup/10/-3/9_3_1.jpg,1_cup,1,cup,-3,8,10,1/8,800,16,3
1_cup/10/-3/6_4_3.jpg,1_cup,1,cup,-3,8,10,1/60,1600,8,3
1_cup/10/-3/6_5_2.jpg,1_cup,1,cup,-3,8,10,1/60,3200,11,3
1_cup/10/-3/6_6_1.jpg,1_cup,1,cup,-3,8,10,1/60,6400,16,3
1_cup/10/-3/3_6_4.jpg,1_cup,1,cup,-3,8,10,1/500,6400,5.6,3
1_cup/10/-3/10_0_3.jpg,1_cup,1,cup,-3,8,10,1/4,100,8,3
1_cup/10/-3/10_1_2.jpg,1_cup,1,cup,-3,8,10,1/4,200,11,3
1_cup/10/-3/10_2_1.jpg,1_cup,1,cup,-3,8,10,1/4,400,16,3
1_cup/10/-3/10_3_0.jpg,1_cup,1,cup,-3,8,10,1/4,800,22,3
1_cup/10/-3/7_4_2.jpg,1_cup,1,cup,-3,8,10,1/30,1600,11,3
1_cup/10/-3/7_6_0.jpg,1_cup,1,cup,-3,8,10,1/30,6400,22,3
1_cup/10/-3/4_5_4.jpg,1_cup,1,cup,-3,8,10,1/250,3200,5.6,3
1_cup/10/-3/4_6_3.jpg,1_cup,1,cup,-3,8,10,1/250,6400,8,3
1_cup/10/-3/8_1_4.jpg,1_cup,1,cup,-3,8,10,1/15,200,5.6,3
1_cup/10/-3/8_2_3.jpg,1_cup,1,cup,-3,8,10,1/15,400,8,3
1_cup/10/-3/8_3_2.jpg,1_cup,1,cup,-3,8,10,1/15,800,11,3
1_cup/10/-3/8_5_0.jpg,1_cup,1,cup,-3,8,10,1/15,3200,22,3
1_cup/10/-3/5_4_4.jpg,1_cup,1,cup,-3,8,10,1/125,1600,5.6,3
1_cup/10/-3/5_5_3.jpg,1_cup,1,cup,-3,8,10,1/125,3200,8,3
1_cup/10/-3/13_0_0.jpg,1_cup,1,cup,-3,8,10,2,100,22,3
1_cup/10/-3/12_0_1.jpg,1_cup,1,cup,-3,8,10,1,100,16,3
1_cup/10/-3/12_1_0.jpg,1_cup,1,cup,-3,8,10,1,200,22,3
1_cup/10/-3/11_2_0.jpg,1_cup,1,cup,-3,8,10,0.5,400,22,3
1_cup/10/-2/9_4_1.jpg,1_cup,1,cup,-2,7,10,1/8,1600,16,3
1_cup/10/-2/6_4_4.jpg,1_cup,1,cup,-2,7,10,1/60,1600,5.6,3
1_cup/10/-2/6_5_3.jpg,1_cup,1,cup,-2,7,10,1/60,3200,8,3
1_cup/10/-2/6_6_2.jpg,1_cup,1,cup,-2,7,10,1/60,6400,11,3
1_cup/10/-2/10_0_4.jpg,1_cup,1,cup,-2,7,10,1/4,100,5.6,3
1_cup/10/-2/10_4_0.jpg,1_cup,1,cup,-2,7,10,1/4,1600,22,3
1_cup/10/-2/7_5_2.jpg,1_cup,1,cup,-2,7,10,1/30,3200,11,3
1_cup/10/-2/7_6_1.jpg,1_cup,1,cup,-2,7,10,1/30,6400,16,3
1_cup/10/-2/4_6_4.jpg,1_cup,1,cup,-2,7,10,1/250,6400,5.6,3
1_cup/10/-2/8_2_4.jpg,1_cup,1,cup,-2,7,10,1/15,400,5.6,3
1_cup/10/-2/8_6_0.jpg,1_cup,1,cup,-2,7,10,1/15,6400,22,3
1_cup/10/-2/14_0_0.jpg,1_cup,1,cup,-2,7,10,4,100,22,3
